address_line1,address_line2,price,sold_status_date,property_url,property_id
227 Australia Street,NEWTOWN NSW 2042,"$1,545,000",Sold prior to auction 25 Jun 2023,https://www.domain.com.au/227-australia-street-newtown-nsw-2042-2018566857,0
49 Egan Street,NEWTOWN NSW 2042,"$2,570,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/49-egan-street-newtown-nsw-2042-2018561607,0
14 Wells Street,NEWTOWN NSW 2042,"$1,810,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/14-wells-street-newtown-nsw-2042-2018562458,0
6 Rawson Street,NEWTOWN NSW 2042,"$2,810,000",Sold at auction 23 Jun 2023,https://www.domain.com.au/6-rawson-street-newtown-nsw-2042-2018575516,0
12a/94 Alice Street,NEWTOWN NSW 2042,"$725,000",Sold prior to auction 23 Jun 2023,https://www.domain.com.au/12a-94-alice-street-newtown-nsw-2042-2018571651,0
313/72 Alice Street,NEWTOWN NSW 2042,"$875,000",Sold at auction 22 Jun 2023,https://www.domain.com.au/313-72-alice-street-newtown-nsw-2042-2018559954,0
227 Australia Street,NEWTOWN NSW 2042,"$1,545,000",Sold prior to auction 25 Jun 2023,https://www.domain.com.au/227-australia-street-newtown-nsw-2042-2018566857,0
49 Egan Street,NEWTOWN NSW 2042,"$2,570,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/49-egan-street-newtown-nsw-2042-2018561607,0
14 Wells Street,NEWTOWN NSW 2042,"$1,810,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/14-wells-street-newtown-nsw-2042-2018562458,0
6 Rawson Street,NEWTOWN NSW 2042,"$2,810,000",Sold at auction 23 Jun 2023,https://www.domain.com.au/6-rawson-street-newtown-nsw-2042-2018575516,0
12a/94 Alice Street,NEWTOWN NSW 2042,"$725,000",Sold prior to auction 23 Jun 2023,https://www.domain.com.au/12a-94-alice-street-newtown-nsw-2042-2018571651,0
313/72 Alice Street,NEWTOWN NSW 2042,"$875,000",Sold at auction 22 Jun 2023,https://www.domain.com.au/313-72-alice-street-newtown-nsw-2042-2018559954,0
227 Australia Street,NEWTOWN NSW 2042,"$1,545,000",Sold prior to auction 25 Jun 2023,https://www.domain.com.au/227-australia-street-newtown-nsw-2042-2018566857,0
49 Egan Street,NEWTOWN NSW 2042,"$2,570,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/49-egan-street-newtown-nsw-2042-2018561607,0
14 Wells Street,NEWTOWN NSW 2042,"$1,810,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/14-wells-street-newtown-nsw-2042-2018562458,0
6 Rawson Street,NEWTOWN NSW 2042,"$2,810,000",Sold at auction 23 Jun 2023,https://www.domain.com.au/6-rawson-street-newtown-nsw-2042-2018575516,0
12a/94 Alice Street,NEWTOWN NSW 2042,"$725,000",Sold prior to auction 23 Jun 2023,https://www.domain.com.au/12a-94-alice-street-newtown-nsw-2042-2018571651,0
313/72 Alice Street,NEWTOWN NSW 2042,"$875,000",Sold at auction 22 Jun 2023,https://www.domain.com.au/313-72-alice-street-newtown-nsw-2042-2018559954,0
227 Australia Street,NEWTOWN NSW 2042,"$1,545,000",Sold prior to auction 25 Jun 2023,https://www.domain.com.au/227-australia-street-newtown-nsw-2042-2018566857,2018566857
49 Egan Street,NEWTOWN NSW 2042,"$2,570,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/49-egan-street-newtown-nsw-2042-2018561607,2018561607
14 Wells Street,NEWTOWN NSW 2042,"$1,810,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/14-wells-street-newtown-nsw-2042-2018562458,2018562458
6 Rawson Street,NEWTOWN NSW 2042,"$2,810,000",Sold at auction 23 Jun 2023,https://www.domain.com.au/6-rawson-street-newtown-nsw-2042-2018575516,2018575516
12a/94 Alice Street,NEWTOWN NSW 2042,"$725,000",Sold prior to auction 23 Jun 2023,https://www.domain.com.au/12a-94-alice-street-newtown-nsw-2042-2018571651,2018571651
313/72 Alice Street,NEWTOWN NSW 2042,"$875,000",Sold at auction 22 Jun 2023,https://www.domain.com.au/313-72-alice-street-newtown-nsw-2042-2018559954,2018559954
227 Australia Street,NEWTOWN NSW 2042,"$1,545,000",Sold prior to auction 25 Jun 2023,https://www.domain.com.au/227-australia-street-newtown-nsw-2042-2018566857,2018566857
49 Egan Street,NEWTOWN NSW 2042,"$2,570,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/49-egan-street-newtown-nsw-2042-2018561607,2018561607
14 Wells Street,NEWTOWN NSW 2042,"$1,810,000",Sold at auction 24 Jun 2023,https://www.domain.com.au/14-wells-street-newtown-nsw-2042-2018562458,2018562458
6 Rawson Street,NEWTOWN NSW 2042,"$2,810,000",Sold at auction 23 Jun 2023,https://www.domain.com.au/6-rawson-street-newtown-nsw-2042-2018575516,2018575516
12a/94 Alice Street,NEWTOWN NSW 2042,"$725,000",Sold prior to auction 23 Jun 2023,https://www.domain.com.au/12a-94-alice-street-newtown-nsw-2042-2018571651,2018571651
313/72 Alice Street,NEWTOWN NSW 2042,"$875,000",Sold at auction 22 Jun 2023,https://www.domain.com.au/313-72-alice-street-newtown-nsw-2042-2018559954,2018559954
